frame_idx,t_ms,face,eye_blink_l,eye_blink_r,ear,jaw_open,pitch,yaw,roll,bright_mean,warmth
0,0.0,1,0.16531819105148315,0.16518042981624603,0.32024,0.09861000627279282,1.41,-0.915,3.602,118.611,1.04691
1,41.67,1,0.1746056079864502,0.18738846480846405,0.31553,0.11597322672605515,1.31,-0.981,3.495,118.714,1.047
2,83.33,1,0.18612147867679596,0.19308072328567505,0.31125,0.11808669567108154,0.955,-0.856,3.428,118.763,1.04614
3,125.0,1,0.19172386825084686,0.20262865722179413,0.30446,0.13275834918022156,1.151,-0.615,3.431,118.564,1.04722
4,166.67,1,0.21024048328399658,0.2772160768508911,0.27299,0.14664697647094727,1.247,-0.321,3.157,118.611,1.04703
5,208.33,1,0.5957818627357483,0.5553920269012451,0.12175,0.18273308873176575,1.234,-0.302,3.266,118.375,1.04696
6,250.0,1,0.7373272180557251,0.6652638912200928,0.05287,0.11913898587226868,1.437,0.368,3.615,118.047,1.04725
7,291.67,1,0.7860537171363831,0.6987330913543701,0.03084,0.16724611818790436,1.252,0.714,3.339,117.745,1.04827
8,333.33,1,0.7054811716079712,0.6324676871299744,0.06356,0.1502406746149063,1.806,1.23,3.03,117.793,1.04675
9,375.0,1,0.568579375743866,0.5376728773117065,0.1208,0.19133497774600983,2.391,1.794,3.144,117.747,1.0495
10,416.67,1,0.3117621839046478,0.3548872768878937,0.21528,0.18770146369934082,2.338,1.734,3.005,117.316,1.05563
11,458.33,1,0.1867421567440033,0.2014760822057724,0.29101,0.23352353274822235,2.52,1.841,3.388,115.374,1.06243
12,500.0,1,0.17907336354255676,0.17858454585075378,0.30286,0.1682291179895401,3.18,2.672,3.237,115.676,1.06087
13,541.67,1,0.22415320575237274,0.17912718653678894,0.2895,0.1516105830669403,3.282,3.139,3.08,116.749,1.05869
14,583.33,1,0.222255140542984,0.17335458099842072,0.29042,0.15089181065559387,3.218,4.015,3.056,118.225,1.05493
15,625.0,1,0.21053217351436615,0.19149893522262573,0.28984,0.15691860020160675,3.499,4.35,3.193,121.772,1.04729
16,666.67,1,0.12225847691297531,0.10375643521547318,0.33398,0.12638072669506073,4.777,4.505,3.598,122.66,1.04579
17,708.33,1,0.11192943155765533,0.09827259927988052,0.34366,0.103790782392025,4.849,4.024,3.792,122.923,1.04548
18,750.0,1,0.12234994024038315,0.1075824648141861,0.3419,0.10784740746021271,5.166,3.73,4.045,123.46,1.04549
19,791.67,1,0.11491134762763977,0.1077129915356636,0.3459,0.10765864700078964,5.482,3.133,4.548,123.781,1.04576
20,833.33,1,0.10872586816549301,0.0942504033446312,0.3486,0.10567308217287064,5.786,2.162,4.766,124.621,1.04584
21,875.0,1,0.1095009297132492,0.09651674330234528,0.34624,0.11519210785627365,5.772,1.41,4.574,124.648,1.04582
22,916.67,1,0.10634464770555496,0.0870455950498581,0.35042,0.1409893035888672,5.58,0.501,4.475,124.796,1.0454
23,958.33,1,0.11196180433034897,0.0934097021818161,0.34937,0.14441363513469696,5.755,0.066,4.345,124.622,1.04551
24,1000.0,1,0.11492838710546494,0.09567143768072128,0.34914,0.11700259149074554,6.225,0.319,4.253,124.667,1.04482
25,1041.67,1,0.11532311141490936,0.09691227972507477,0.34568,0.13448816537857056,6.387,0.761,4.091,124.688,1.04461
26,1083.33,1,0.10694090276956558,0.09032443910837173,0.34513,0.0771227553486824,5.948,1.707,4.401,124.751,1.04381
27,1125.0,1,0.12198255211114883,0.10970553755760193,0.33354,0.07331376522779465,5.115,2.297,4.568,124.538,1.04488
28,1166.67,1,0.11477142572402954,0.08896025270223618,0.344,0.05391184985637665,4.267,2.81,4.689,124.7,1.04361
29,1208.33,1,0.13343676924705505,0.1256396472454071,0.32686,0.06527811288833618,3.958,3.118,5.191,124.748,1.04395
30,1250.0,1,0.13327577710151672,0.14649541676044464,0.32057,0.07140861451625824,3.596,3.031,5.187,125.161,1.04403
31,1291.67,1,0.13206632435321808,0.1416769176721573,0.33488,0.07912316918373108,3.201,3.163,5.354,125.772,1.04364
32,1333.33,1,0.13811089098453522,0.1444859504699707,0.33326,0.12364180386066437,2.714,2.561,5.578,126.087,1.04338
33,1375.0,1,0.14324775338172913,0.1480386108160019,0.33028,0.12877991795539856,2.741,2.311,5.559,125.995,1.04396
34,1416.67,1,0.1465514451265335,0.1427234560251236,0.33334,0.13745009899139404,2.504,1.907,5.533,126.004,1.04353
35,1458.33,1,0.14517077803611755,0.14481842517852783,0.33243,0.17405568063259125,2.529,1.87,5.352,125.816,1.04428
36,1500.0,1,0.15970222651958466,0.14866016805171967,0.32483,0.167962908744812,2.646,1.671,5.01,125.993,1.0439
37,1541.67,1,0.15836361050605774,0.14633473753929138,0.32409,0.1506454348564148,2.385,1.418,4.979,126.001,1.04332
